_id,case-name,cpu,duration,frame,git-branch,git-commit,git-datetime,git-timestamp,machine,nodename,returncode,test-name,test-size,uuid
5b33f6728ea11a07834a6904,11_exact_2d_nc_p0,1,0.713385814,Whole Program,master,856696b9e044e23ba1865304ee5a9717a3541c64,2018-06-27 13:44:27,1530099867,charon.nti.tul.cz,charon,1,12_darcy_frac,1040,3ddec58a875d4cd8b54f60906e34413d
5b33f88b8ea11a1fbfcaa9ae,10_exact_2d_cc,1,0.762527089,Whole Program,master,a81351b8fbe7e8a473b2094f2b9bdd8b3401b9f6,2018-06-22 14:42:31,1529671351,charon.nti.tul.cz,charon,1,12_darcy_frac,1052,8594d895832b4a2cb44d71da913f9328
5b33fad88ea11a1fbfcac149,11_exact_2d_nc_p0,1,0.728733276,Whole Program,master,a81351b8fbe7e8a473b2094f2b9bdd8b3401b9f6,2018-06-22 14:42:31,1529671351,charon.nti.tul.cz,charon,1,12_darcy_frac,1040,f3f6a25942104fd4b1a31141371f99d7
5b33fce28ea11a1fbfcad99a,11_exact_2d_nc_p0,1,0.751973882,Whole Program,master,a81351b8fbe7e8a473b2094f2b9bdd8b3401b9f6,2018-06-22 14:42:31,1529671351,charon.nti.tul.cz,charon,1,12_darcy_frac,1040,f8ca5a0bd40c44f18950eba8a7422053
5b33ff348ea11a1fbfcaf1a0,11_exact_2d_nc_p0,1,0.747673237,Whole Program,master,a81351b8fbe7e8a473b2094f2b9bdd8b3401b9f6,2018-06-22 14:42:31,1529671351,charon.nti.tul.cz,charon,1,12_darcy_frac,1040,edcfbd2e18104480a6a0c329ab582038
5b34013a8ea11a1fbfcb0a21,10_exact_2d_cc,1,0.752170602,Whole Program,master,a81351b8fbe7e8a473b2094f2b9bdd8b3401b9f6,2018-06-22 14:42:31,1529671351,charon.nti.tul.cz,charon,1,12_darcy_frac,1052,fe78b5488cf24112a26be20d639fa143
5b3403848ea11a1fbfcb21d1,10_exact_2d_cc,1,0.742596381,Whole Program,master,a81351b8fbe7e8a473b2094f2b9bdd8b3401b9f6,2018-06-22 14:42:31,1529671351,charon.nti.tul.cz,charon,1,12_darcy_frac,1052,af5163141a5941b681c114c7cc81873c
5b3405898ea11a1fbfcb3908,11_exact_2d_nc_p0,1,0.742770709,Whole Program,master,a81351b8fbe7e8a473b2094f2b9bdd8b3401b9f6,2018-06-22 14:42:31,1529671351,charon.nti.tul.cz,charon,1,12_darcy_frac,1040,c992dc7ee9cd4c1fa82ebcb1d6528e0c
5b34078d8ea11a1fbfcb50dc,10_exact_2d_cc,1,0.748949381,Whole Program,master,a81351b8fbe7e8a473b2094f2b9bdd8b3401b9f6,2018-06-22 14:42:31,1529671351,charon.nti.tul.cz,charon,1,12_darcy_frac,1052,a19b275339ff4e0dbe1dc3623d330c85
5b34098f8ea11a1fbfcb6813,10_exact_2d_cc,1,0.82731651,Whole Program,master,a81351b8fbe7e8a473b2094f2b9bdd8b3401b9f6,2018-06-22 14:42:31,1529671351,charon.nti.tul.cz,charon,1,12_darcy_frac,1052,1bef76b12ed1457591228ec7e6d3db2b
